id,obj1,obj2,kg,stdunits,km,workhours
0,208004.463,2373808.0033332817,1668675.0,370816.66666664946,914435.3599999767,118690.40016666408
1,209204.463,2294404.2377777635,1668390.0,370753.33333331614,664249.5299999878,114720.21188888817
2,211004.463,2440786.5711111436,1668675.0,370816.66666664946,893633.3700000009,122039.32855555718
3,212504.463,2237071.2311111097,1668105.0,370689.9999999828,691325.7599999683,111853.56155555548
4,207794.463,2462850.0255555515,1667820.0,370626.6666666495,903288.1799999985,123142.50127777758
5,211304.463,2353275.927777747,1668105.0,370689.9999999828,1307753.0100000014,117663.79638888736
6,205604.463,2381415.349999995,1668675.0,370816.66666664946,1169382.0899999836,119070.76749999975
7,208304.463,2313650.6466666334,1668105.0,370689.9999999828,787819.7999999833,115682.53233333168
8,204104.463,2390481.178888861,1668105.0,370689.9999999828,1014438.3200000181,119524.05894444307
9,208004.463,2370832.223333323,1668390.0,370753.33333331614,854092.2400000046,118541.61116666615
10,208604.463,2319910.4288888923,1668675.0,370816.66666664946,950754.4200000098,115995.52144444462
11,207404.463,2306980.80222219,1667535.0,370563.3333333162,1049390.4599999648,115349.0401111095
12,210404.463,2370824.370000017,1668675.0,370816.66666664946,1342848.1699999704,118541.21850000085
13,206504.463,2303547.4388888804,1668390.0,370753.33333331614,914020.2199999818,115177.37194444402
14,208304.463,2424320.6222222154,1667820.0,370626.6666666495,947337.5999999789,121216.03111111077
15,209804.463,2302239.6477777567,1668675.0,370816.66666664946,1075690.4100000106,115111.98238888783
16,211004.463,2429464.534444474,1668960.0,370879.99999998277,924049.4399999827,121473.22672222371
17,208304.463,2323288.9455555435,1668390.0,370753.33333331614,753839.4799999638,116164.44727777717
18,212804.463,2462967.3611111185,1668960.0,370879.99999998277,944984.7500000072,123148.36805555593
19,209504.463,2338568.8088888796,1668390.0,370753.33333331614,775159.2299999868,116928.44044444397
20,207704.463,2258310.6977777714,1668105.0,370689.9999999828,916954.0599999875,112915.53488888858
21,207704.463,2258310.6977777714,1668105.0,370689.9999999828,916954.0599999875,112915.53488888858
22,207704.463,2258310.6977777714,1668105.0,370689.9999999828,916954.0599999875,112915.53488888858
23,211004.463,2346127.76888887,1668675.0,370816.66666664946,1111852.9999999944,117306.38844444348
24,212504.463,2410625.0633333516,1669245.0,370943.3333333161,767714.3499999865,120531.25316666758
25,210104.463,2344923.760000003,1668390.0,370753.33333331614,901620.539999995,117246.18800000015
26,207104.463,2352391.477777764,1666680.0,370373.33333331626,1023400.159999989,117619.57388888822
27,213404.463,2287028.247777792,1668675.0,370816.66666664946,976633.7799999943,114351.4123888896
28,211004.463,2421320.268888954,1668390.0,370753.33333331614,999745.2499999875,121066.0134444477
29,208004.463,2362985.920000021,1668390.0,370753.33333331614,971846.9799999791,118149.29600000104
30,212204.463,2356544.540000005,1667820.0,370626.6666666495,974859.0599999989,117827.22700000026
31,208904.463,2352476.787777776,1668390.0,370753.33333331614,1222232.7899999912,117623.8393888888
32,210104.463,2343706.4299999536,1668675.0,370816.66666664946,1283656.4699999897,117185.32149999768
33,210404.463,2449483.5888888966,1668960.0,370879.99999998277,833296.2800000075,122474.17944444483
34,209504.463,2435079.0555555425,1668675.0,370816.66666664946,973332.4700000007,121753.95277777711
35,209204.463,2346144.0455555455,1668675.0,370816.66666664946,836553.5099999836,117307.20227777727
36,212504.463,2429806.661111116,1668390.0,370753.33333331614,955787.4599999968,121490.33305555579
37,207404.463,2268755.7155555366,1668960.0,370879.99999998277,792938.2500000091,113437.78577777682
38,207404.463,2268755.7155555366,1668960.0,370879.99999998277,792938.2500000091,113437.78577777682
39,210404.463,2326480.1644444577,1668675.0,370816.66666664946,836558.7199999823,116324.0082222229
40,206804.463,2287480.9966666666,1668390.0,370753.33333331614,800353.4400000015,114374.04983333334
41,212804.463,2306078.259999971,1668675.0,370816.66666664946,1130409.2699999865,115303.91299999855
42,211004.463,2454082.7499999986,1669245.0,370943.3333333161,1078653.2000000014,122704.13749999994
43,206504.463,2268008.5933333077,1668105.0,370689.9999999828,868258.0799999953,113400.42966666538
44,206804.463,2268008.5933333077,1668105.0,370689.9999999828,868258.0799999953,113400.42966666538
45,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
46,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
47,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
48,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
49,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
50,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
51,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
52,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
53,205604.463,2294128.1466666637,1667820.0,370626.6666666495,1180385.55999999,114706.40733333318
54,206504.463,2264235.784444416,1668390.0,370753.33333331614,850169.6900000006,113211.7892222208
55,207404.463,2188489.1177777965,1668105.0,370689.9999999828,742553.7599999906,109424.45588888982
56,207404.463,2188489.1177777965,1668105.0,370689.9999999828,742553.7599999906,109424.45588888982
57,207404.463,2188489.1177777965,1668105.0,370689.9999999828,742553.7599999906,109424.45588888982
58,207104.4945,2192782.062222156,1667535.0,370563.3333333162,1135345.8699999873,109639.1031111078
59,207104.4945,2192782.062222156,1667535.0,370563.3333333162,1135345.8699999873,109639.1031111078
60,207704.463,2224910.2811111305,1668105.0,370689.9999999828,885662.7899999769,111245.51405555652
61,207704.463,2224910.2811111305,1668105.0,370689.9999999828,885662.7899999769,111245.51405555652
62,207704.463,2224910.2811111305,1668105.0,370689.9999999828,885662.7899999769,111245.51405555652
63,207704.463,2224910.2811111305,1668105.0,370689.9999999828,885662.7899999769,111245.51405555652
64,207704.463,2224910.2811111305,1668105.0,370689.9999999828,885662.7899999769,111245.51405555652
65,208004.463,2224910.2811111305,1668105.0,370689.9999999828,885662.7899999769,111245.51405555652
66,207704.463,2266548.5277777547,1668675.0,370816.66666664946,937038.9899999775,113327.42638888775
67,207704.463,2224372.412222242,1667820.0,370626.6666666495,884876.1099999787,111218.6206111121
68,207704.463,2254560.414444439,1668390.0,370753.33333331614,894922.6199999835,112728.02072222195
69,207815.463,2226692.523333332,1667535.0,370563.3333333162,997204.8000000237,111334.6261666666
70,207704.463,2258310.6977777714,1668105.0,370689.9999999828,913011.0099999834,112915.53488888858
71,207704.463,2258310.6977777714,1668105.0,370689.9999999828,913011.0099999834,112915.53488888858
72,206775.963,2224604.25444445,1667250.0,370499.9999999829,1217130.509999993,111230.21272222251
73,209705.463,2188347.251111133,1668105.0,370689.9999999828,776754.2399999966,109417.36255555664
74,209705.463,2188347.251111133,1668105.0,370689.9999999828,776754.2399999966,109417.36255555664
75,206504.463,2295743.50555552,1668390.0,370753.33333331614,1095156.81999999,114787.175277776
76,206504.463,2295743.50555552,1668390.0,370753.33333331614,1095156.81999999,114787.175277776
