id,obj1,obj2,kg,stdunits,km,workhours
0,210104.463,2337839.4622221943,1668390.0,370753.33333331614,934302.0399999894,116891.9731111097
1,208004.463,2409576.453333357,1668960.0,370879.99999998277,978604.9999999803,120478.82266666785
2,209204.463,2329044.4466666477,1668390.0,370753.33333331614,847993.9700000003,116452.22233333238
3,206804.463,2287378.185555538,1669245.0,370943.3333333161,1015595.4600000163,114368.9092777769
4,210104.463,2367571.696666622,1668675.0,370816.66666664946,851524.9699999745,118378.5848333311
5,208904.463,2363389.1211110856,1668675.0,370816.66666664946,642946.1100000053,118169.45605555428
6,208904.463,2329561.711111063,1668675.0,370816.66666664946,714657.4299999871,116478.08555555316
7,211904.463,2443405.763333386,1668675.0,370816.66666664946,983896.0400000084,122170.2881666693
8,207704.463,2350821.4444444184,1668675.0,370816.66666664946,864415.6900000074,117541.07222222092
9,209804.463,2352682.4100000174,1668390.0,370753.33333331614,799082.67999997,117634.12050000088
10,210104.463,2368200.5755555537,1668675.0,370816.66666664946,1068359.52999997,118410.02877777768
11,210104.463,2368200.5755555537,1668675.0,370816.66666664946,1068359.52999997,118410.02877777768
12,210104.463,2368200.5755555537,1668675.0,370816.66666664946,1068359.52999997,118410.02877777768
13,210404.463,2351436.432222197,1668675.0,370816.66666664946,1122854.6999999937,117571.82161110984
14,208904.463,2356215.69222222,1668675.0,370816.66666664946,735450.7599999931,117810.784611111
15,212504.463,2361021.932222199,1668960.0,370879.99999998277,851134.5299999819,118051.09661110996
16,211904.463,2338934.347777797,1668675.0,370816.66666664946,727220.6699999844,116946.71738888984
17,207404.463,2346000.7644444383,1667820.0,370626.6666666495,1150897.0900000033,117300.0382222219
18,208904.463,2365297.818888874,1668105.0,370689.9999999828,1269181.9799999762,118264.8909444437
19,210404.463,2360604.8399999742,1668105.0,370689.9999999828,1160420.469999991,118030.2419999987
20,208004.463,2440796.0922222063,1668390.0,370753.33333331614,892951.4999999962,122039.80461111032
21,212504.463,2272667.921111146,1668390.0,370753.33333331614,900362.4699999904,113633.3960555573
22,209804.463,2367460.3144444134,1669245.0,370943.3333333161,1428047.4200000253,118373.01572222066
23,210704.463,2440316.8066666303,1668390.0,370753.33333331614,1000748.5100000123,122015.84033333152
24,209204.463,2297094.0466666883,1668675.0,370816.66666664946,832441.5599999689,114854.70233333441
25,207104.463,2369098.515555548,1668105.0,370689.9999999828,888660.2600000029,118454.9257777774
26,210404.463,2358576.991111101,1668105.0,370689.9999999828,851409.0499999915,117928.84955555505
27,209204.463,2221393.233333311,1668390.0,370753.33333331614,856659.7200000307,111069.66166666556
28,209504.463,2394672.367777727,1668960.0,370879.99999998277,811494.6999999867,119733.61838888636
29,210704.463,2356439.9344444857,1668960.0,370879.99999998277,888655.8399999717,117821.99672222428
30,214304.463,2256989.7755555664,1668675.0,370816.66666664946,1123314.3000000077,112849.48877777832
31,208904.463,2418038.4411111465,1668960.0,370879.99999998277,979603.1099999938,120901.92205555733
32,209894.4315,2382537.5744444686,1668390.0,370753.33333331614,800928.3499999708,119126.87872222342
33,215615.15249999997,2388637.292222271,1668960.0,370879.99999998277,1010539.670000006,119431.86461111356
34,213404.463,2336786.461111089,1668390.0,370753.33333331614,897084.3299999865,116839.32305555446
